ကားလမ်း	railway	roads	roadway	rail	railroad	road	railroads	viaducts	freight	highways
ကားလ်	professionally	cars	car	mechanic	racers	programmer	hired	driver	dealership	gary
ကိ	crates	milking	ate	ball	hinges	polishing	mated	cow	plated	ton
ကိရိယာ	device	equipment	devices	sensors	sensor	scanners	scanner	projector	scanning	outfitted
ကိရိယာကို	sensor	sensors	device	touchscreen	devices	scanning	handheld	optically	mechanically	interface
ကိရိယာတစ်ခု	device	devices	subsystem	scanner	optimized	gadgets	functionality	scanners	sensor	handheld
ကိရိယာများ	devices	equipment	sensors	scanners	projectors	computers	appliances	components	configurations	containers
ကီ	seconds	minutes	akita	min	mins	kilo	days	duration	shin	ra
ကီဗင်	only	march	august	first	ended	september	officially	was	ran	november
ကီမီ	after	before	starting	coincidentally	ended	only	again	time	just	since
ကီမွန်း	coincidentally	announcement	january	april	requested	adviser	postponement	june	phoned	february
ကီရာလာ	police	accused	officials	arrested	denied	interviewing	alleged	contacted	protested	interviewed
ကီလို	kilometers	kilometer	kilometres	km	kilometre	kilogram	kilo	meters	kilograms	centimetres
ကီလိုဂရမ်	kilogram	grams	kilo	kilograms	kilometer	centimetres	diameter	kilometers	weight	centimeter
ကီလိုမီတာ	kilometers	kilometres	kilometer	kilometre	km	meters	metres	miles	metre	distance
ကီလိုမီတာခန့်	kilometers	kilometres	kilometer	km	kilometre	meters	centimetres	metres	approximately	diameter
ကီလိုမီတာပေါင်း	kilometers	kilometres	kilometer	kilometre	km	meters	approximately	km²	miles	approx
ကီလိုမီတာအကွာ	kilometers	kilometres	kilometer	km	kilometre	meters	metres	miles	km²	southwest
ကီလိုဝပ်	kilometers	kilometer	kilogram	kilometres	kilowatt	kilometre	km	kilo	kwh	meters
ကီး	hang	bet	hit	read	back	reply	us	kia	india	tapped
ကီးဘုတ်	kelly	featured	keyboard	page	ron	chip	hello	lee	mini	jon
ကု	patient	camel	fig	camels	urine	nang	catheter	intestines	renal	infusion
ကုဋေ	sustenance	dwelt	devas	sixty	swallowed	thousand	earthly	prophesied	seventy	eighty
ကုတင်	hospital	clinics	hospitals	clinic	depot	ambulances	outpatient	pediatric	facility	dispensary
ကုထုံး	clinical	preventive	therapies	preventative	diseases	medicine	clinically	prevention	treatments	integrative
ကုဗ	centimetres	weighing	millimeters	diameter	grams	inches	ounces	tonnes	kilogram	approximately
ကုဗပေ	tonnes	diameter	millimeters	kilogram	tonne	tons	inches	diameters	centimetres	m³
ကုဗမီတာ	meters	centimetres	kilometer	centimeter	metre	kilogram	kilometers	kilometre	metres	kilometres
ကုလ	undp	usaid	secretariat	delegation	wto	peacekeeping	osce	envoy	unhcr	rapporteur
ကုလသမဂ္ဂ၊	undp	wto	multilateral	usaid	secretariat	peacekeeping	unep	oas	disarmament	ngo
ကုလသမဂ္ဂ	undp	wto	secretariat	disarmament	oas	peacekeeping	multilateral	liaison	usaid	delegation
ကုလသမဂ္ဂ၏	undp	wto	peacekeeping	multilateral	usaid	unep	secretariat	oas	osce	disarmament
ကုလသမ္မဂ	undp	multilateral	usaid	peacekeeping	humanitarian	disarmament	wto	nations	peacekeepers	urgently
ကုလသမ္မဂ္ဂ	undp	multilateral	disarmament	wto	secretariat	nations	usaid	peacekeeping	delegation	humanitarian
ကုလား	mules	camels	camel	donkeys	horseback	oxen	horses	cows	slippers	sleigh
ကုလားထိုင်	dressing	slippers	padded	tent	towel	curtains	washer	sitting	blinds	shoes
ကုသ	hospitalization	transplant	pediatric	medically	patients	sepsis	patient	medical	medication	surgery
ကုသခြင်း	complication	treatments	treatment	infection	pain	complications	hospitalization	medication	diagnosis	chronic
ကုသနည်း	disease	clinically	infection	chronic	medication	transplant	patient	complication	transplants	sepsis
ကုသမှု	hospitalization	patients	patient	sepsis	pediatric	clinical	transplant	chemotherapy	treatment	treatments
ကုသရာ၌	ulcers	antibiotics	infections	antibiotic	bowel	urinary	diarrhea	intestinal	anesthetic	tumours
ကုသရေး	preventive	medical	preventative	health	pediatric	clinical	palliative	rehabilitation	nutrition	prevention
ကုသရန်	chemotherapy	infections	neonatal	medications	treatments	antibiotics	hepatitis	chronic	respiratory	asthma
ကုသိုလ်	penance	worldly	grief	delusion	afterlife	virtuous	immortality	womb	delusions	forgiveness
ကုသိုလ်ကံ	delusion	evil	grief	forgiveness	penance	guilt	vengeful	delusions	worldly	begs
ကုသိုလ်ကောင်းမှု	sufferings	virtuous	repentance	penance	pious	piety	evil	vengeful	forgiveness	humility
ကုသိုလ်ဖြစ်	professorship	undergraduate	teaching	inheritance	theology	exorcism	teaches	immortality	graduate	professorships
ကုိ	only	well	being	additionally	also	the	however	this	believed	intervention
ကူ	hang	chit	tho	se	ping	boon	seng	kon	ho	ne
ကူကီး	vassal	kham	jurchen	khitan	invading	suzerainty	mang	lan	zong	xia
ကူညီ	assisting	helping	help	assistance	assist	benefitted	aiding	hoping	bring	benefiting
ကူညီခဲ့သည်	agreed	hoped	helping	benefitted	providing	sought	bringing	bolstered	helped	prompted
ကူညီခြင်း	rejection	mediation	intervention	acceptance	cessation	renunciation	restitution	facilitation	centralization	commitment
ကူညီထောက်ပံ့	assistance	assist	support	assisting	providing	benefiting	funds	aid	provide	mentoring
ကူညီပေး	helping	assisting	aiding	providing	encouraging	help	benefitted	encourage	facilitating	cooperating
ကူညီပံ့ပိုး	facilitating	facilitation	investing	initiatives	leveraging	invest	facilitated	financing	incentive	providing
ကူညီမှု	efforts	cooperation	commitment	paying	intervention	profits	difficulties	effort	ongoing	helping
ကူညီမှုဖြင့်	persuading	efforts	toyotomi	persuade	sociedad	spearheaded	rehabilitate	sforza	stiftung	iraklis
ကူညီရေး	assistance	cooperation	financing	finance	welfare	humanitarian	assisting	facilitation	financed	initiatives
ကူညီရန်	assistance	solicit	persuade	unwilling	withdraw	withhold	iranian	pledging	agreeing	thwart
ကူညီ၍	persuading	helping	persuade	help	thwart	agreeing	recruit	needy	negotiate	negotiating
ကူရှင်	heirs	noblemen	wealthy	benefactors	aristocrats	stipend	benefactor	tutor	nobleman	nobles
ကူဝိတ်	iran	qatar	countries	saudi	arabia	emirates	cooperation	bahrain	kuwait	oman
ကူး	boats	hang	barge	ferry	ing	sailing	going	here	sing	mad
ကူးစက်	infection	infected	infections	disease	virus	diseases	pathogen	pathogenic	infecting	infect
ကူးစက်ခံ	infection	infections	infected	disease	diseases	virus	infecting	pathogen	pathogenic	respiratory
ကူးစက်ခံရသော	infections	infection	hepatitis	disease	morbidity	clinically	diseases	herpes	pathogenic	virus
ကူးစက်ခြင်း	infection	infections	disease	morbidity	complication	illnesses	diseases	complications	diagnosis	inoculation
ကူးစက်တတ်သော	pathogenic	infections	infection	pathogen	pathogens	pathogenesis	disease	asymptomatic	parasites	viruses
ကူးစက်မှု	infection	infections	diseases	inoculation	morbidity	pathogens	neonatal	pathogenic	pathogenesis	disease
ကူးစက်ရောဂါ	infection	infections	disease	diseases	hepatitis	pathogenic	pathogen	morbidity	epidemiology	pathogenesis
ကူးစက်ရောဂါများ	infections	diseases	infection	disease	pathogens	pathogenic	morbidity	hepatitis	antibiotics	pathogenesis
ကူးစက်သော	infections	pathogenic	infection	clinically	pathogen	disease	infected	pathogens	virus	pathogenesis
ကူးတို့	ferry	ferries	harbour	barges	ferried	boats	lifeboats	docks	moored	moorings
ကူးတို့ဆိပ်	ferry	ferries	jetty	harbour	waterway	wharves	ferried	footbridge	moored	breakwater
ကူးပြောင်း	joining	moving	reverting	turning	transformation	migrating	move	transforming	emergence	join
ကူးယူ	copying	copied	printer	copy	printing	print	printed	read	publishing	copyrighted
ကူးသန်း	shipping	trade	steamships	shipbuilding	exports	steamship	waterway	cargoes	waterways	export
ကူးသန်းရောင်းဝယ်	trade	exports	exporting	markets	export	shipping	commodities	importation	trading	warehousing
ကူးသန်းရောင်းဝယ်မှု	trade	exports	markets	exporting	importation	commodities	profitability	export	trading	shipping
ကူးသန်းရောင်းဝယ်ရေး	trade	transportation	markets	shipping	exports	commodities	warehousing	marketing	industry	commerce
ကေ	uk	sa	nia	us	sub	hi	bel	na	mi	shin
ကေဒါ	assault	guerrilla	insurrection	paramilitary	guerilla	retaliatory	militias	militia	oppose	disband
ကေဗွီ၊	ethanol	dioxide	broadband	micro	offsets	interconnect	ppm	gigabit	gpp	kilowatt
ကေဘယ်ကြိုး	devices	device	enable	enabled	enabling	allowing	enables	using	utilizing	uses
ကေဘယ်လ်	also	wired	additionally	websites	internet	with	developer	integrated	cable	one
ကေမာနော့ခ်	winning	played	beat	booked	won	beating	team	final	inaugural	champions
ကေအင်ဒီအို	guerrillas	militias	militia	guerrilla	insurgents	militiamen	ceasefire	battalions	insurgency	troops
ကေအင်ဒီအိုများ	guerrillas	insurgents	militiamen	militias	troops	offensives	skirmishes	ceasefire	deserters	civilians
ကေအင်ဒီအိုများက	militias	guerrillas	ceasefire	militiamen	insurgents	insurgency	troops	offensives	battalions	militants
ကေအိုင်အေ	ceasefire	insurgency	paramilitary	militias	offensives	commanders	troops	hq	ghq	regrouped
ကေအိုင်အို	gpp	affiliate	roadmap	offshoot	gsm	ceasefire	synergy	hq	gw	gac
ကေအင်န်	battalions	militias	infantry	regiments	militia	rearguard	battalion	platoons	insurgent	brigades
ကေအင်န်ယူတပ်ဦး	battalions	militias	paramilitary	militia	infantry	battalion	brigades	regiments	brigade	commanders
ကေအန်ယူ	hq	coalition	guerrilla	ceasefire	guerrillas	faction	spokesman	paramilitary	roadmap	militias
ကေး	homers	hit	straight	rained	beat	rated	batter	ten	rocked	respectively
ကဲ	crying	cry	wondering	scared	raining	hear	back	cried	hang	mind
ကဲ​	wondering	crying	cried	scared	laughing	something	worry	terrified	sorry	cries
ကဲရစ်	only	also	first	in	coming	for	went	and	made	early
ကဲ့	chit	rang	cow	hang	ta	fly	se	tho	ang	muang
ကဲ့ရဲ့	hopefully	selfish	remind	know	mocks	invokes	foolish	misunderstood	want	reminds
ကဲ့ရဲ့ကုန်၏။	pleads	vain	prays	worldly	foolish	blaney	behold	hysterical	mortals	scorn
ကဲ့သို	like	packaging	dissimilar	such	refers	differs	superficially	collaborates	collectively	counterparts
ကဲ့သို့	forward	like	dissimilar	superficially	appear	though	forwards	such	communicating	rarely
ကဲ့သို့ပင်	superficially	obscure	aguas	tortoises	funnel	usages	communicating	flycatchers	intelligible	plump
ကဲ့သို့သော	such	rarely	heterogeneous	exist	usages	relatively	extensible	superficially	provisioning	problematic
ကော	cor	pronounced	sic	go	cat	rang	mi	cow	sit	tic
ကောတက်ဇ်	shouted	told	warned	shouting	telling	phoned	stunned	reminded	frightened	shocked
ကောလဟလ	claims	claiming	says	statement	that	misleading	suggestion	explaining	actually	phoned
ကောလဟာလ	request	misleading	comment	statement	mailed	claiming	claims	statements	misled	misinformation
ကောလဟာလများ	announcements	suggestions	criticisms	discussions	backgrounds	interviews	insiders	statements	revelations	conversations
ကောလာဟလ	apology	statement	quote	says	statements	quotes	announcement	explaining	request	claims
ကောလင်း	college	educated	counties	matriculated	attended	county	schoolteacher	residents	graduated	graduating
ကောလိပ်	college	colleges	university	undergraduate	graduate	undergraduates	enrolled	postgraduate	universities	enrolling
ကောလိပ်ကို	college	undergraduate	graduate	postgraduate	university	colleges	undergraduates	enrolled	graduating	matriculated
ကောလိပ်ကျောင်း	college	colleges	school	schools	enrolling	undergraduate	students	enrolled	graduate	undergraduates
