ယခု လ တွင် ပျားရည် နှင့် ပျားဖယောင်း များ ကို စုဆောင်း ကြ သည် ဟု ခန့်မှန်း နိုင် သည် ။	This month they collect honey and beeswax is estimated.
တဖက် တွင် ဗိုလ်ချုပ် ၏ ဖြောင့်မတ် နှင့် စိတ် တို့ ကို များ စွာ လေးစား မိ ၏ ။	On one hand, the army of the righteous and respected.
ဝန်ကြီးချုပ် က မြန်မာ ၏ အုပ်ချုပ် စနစ် အား အပြင်းအထန် ဝေဖန် နေ ဆဲ ဖြစ် ပြီး အကူအညီ များ ပေး ရန် လေကြောင်း များ ဖြင့် မြန်မာ ၏ အချုပ်အခြာ အာဏာ အား ချိုးဖောက် မ ရှိ ပေ ။	The Prime Minister&#39;s support system is still heavily criticized by airlines in violation of Myanmar&#39;s sovereignty.
ထို့နောက် ငှက်ဖို နှင့် ငှက်မ တို့ သည် အသိုက် လုပ် ရန် မြက် ၊ သစ်ရွက် ၊ သစ်ကိုင်း အမွေးအတောင် ၊ ကျူပင် ၊ ကျူရိုး စသည် တို့ ကို ရပ်ဝေး ရပ်နီး မှ လိုက်လံ ၍ စုဆောင်း သည် ။	Then, to birds and bird nests, grass foliage, Branches, feathers Reeds, The reeds ရပ်နီး far has been collected..
ယင်း တွင် ဗမာ ၊ ကရင် ၊ ကချင် ၊ ချင်း နှင့် တရုတ် များ ပါဝင် သည် ။	The Burmese, Karen, Kachin, And that includes China.
သို့သော် ၁၉၈၉ နောက်ပိုင်း တွင် ကုမ္ပဏီ ၏ ထုတ်လုပ် များ နှင့် ပတ်သက် ၍ ဦးဆောင် မောင်းနှင် နိုင် မည့် Code ကို ရေးသား ခဲ့ သည် ။	However, since 1989, about the company&#39;s production and be able to drive. Code.
ဗုဒ္ဓဟူး သို့ မရိန်နာ ၁၀ Mariner နှင့် မက်ဆင်ဂျာ MESSENGER ဆို သော အာကာသယာဉ် ၂ စင်း ရောက် ရှိ ခဲ့ သည် ။	Wednesday frame with 10 Mariner မက်ဆင်ဂျာ MESSENGER spacecraft 2 knives.
ယိုးဒယား ထိုင်း နှင့် နယ် ချင်း ဆက်စပ် နေ သောကြောင့် မြိတ် မှာ မြန်မာ နှင့် ယိုးဒယား တို့ ၏ လက်အောက် သို့ အပြန်အလှန် ကျရောက် ခဲ့ ပြီး မြိတ် မှာ လည်း စစ်တလင်း ဖြစ် ခဲ့ ရ သည် ။	Thai for Thailand and adjacent township of Myeik in Myanmar and Thailand, falls under mutual dependency on the battlefield.
၁၈၈၅ ခုနှစ် တွင် မြန်မာ များ သည် ဘုရင့် အရ တာဝန် များ ဆောင်ရွက် ရာ မှ ဘုံဘေဘားမား သည် သစ် များ ကို တရားမဝင် ခုတ်လှဲ ပြီး အခွန် တိမ်းရှောင် ရန် ဝှက် ထား သည် ကို စစ်ဆေး တွေ့ ရှိ ခဲ့ သည် ။	In 1885, the service of the responsibility of the Royal Bombay Burma hide it illegal to cut down the tax evaded is detectable.
ဤ ပညာ သည် အပင် သို့မဟုတ် သတ္တဝါ သို့မဟုတ် သဇီဝ နှင့် ပတ်ဝန်းကျင် သပ္ပါယ် အလုံးစုံ ကို လေ့လာ သော ပညာ ဖြစ် သည် ။	This is a plant or animal or biological and environmental adaptive study all means of education.
၁၉၈၀ ခုနှစ် ဝန်းကျင် တွင် ဘင်္ဂလားဒေ့ရှ် သည် တောင် များ ဖွံ့ဖြိုး ပူးပေါင်း ဆောင်ရွက် ရန် ရည်ရွယ် ဖြင့် ဖွဲ့စည်း ထား သော South Asian Association for Regional Cooperation South Asian Association for Regional Cooperation SAARC တွင် အဓိက တည်ထောင် ဦးဆောင် သော နိုင်ငံ ဖြစ် ခဲ့ သည် ။	Bangladesh is around 1980, which aims to develop cooperation constitute South Asian Association for Regional Cooperation South Asian Association for Regional Cooperation SAARC was established.
ပျူ တို့ သည် ဘီစီ ပထမ ရာစု နှောင်း တွင် အလယ် ဧရာဝတီ သို့ ရောက် ရှိ လာ ကြ ပြီး မြို့ပြ ၊ တိုင်း များ ကို ထူထောင် ခဲ့ ကြ သည် ။	The computer in the middle of the late first century BC, they reached the Irrawaddy urban, The Division was established.
၁၉၉၅ တွင် စင်္ကာပူ သည် ဆွီဒင် မှ Challenger အတန်းအစား ရေငုပ်သင်္ဘော တစ် စီး ရရှိ ခဲ့ ပြီး ၁၉၉၇ တွင် နောက်ထပ် ၃ စီး ထပ်မံ ရရှိ ခဲ့ ကာ ရေငုပ်သင်္ဘော ကို စတင် ပိုင်ဆိုင် ခဲ့ သည် ။	In 1995, Singapore was a Challenger-class submarines from Sweden available again in 1997 for another 3 that owns the submarine began.
ဦးနု တွင် သား နှစ် ဦး ၊ သမီး နှစ် ဦး မွေးဖွား ခဲ့ သည် ။	Two U Nu, Two daughters was born.
နိုင်ငံ ၂ နိုင်ငံ တို့ ကြား တွင် တိုက်ပွဲ အသေးစား လေး များ လည်း ထပ်မံ ဖြစ်ပွား ခဲ့ ပြီး အထူးသဖြင့် ၁၉၈၄ ခုနှစ် ရှာချန် SiachenGlacier ပြဿနာ ကြောင့် ဖြစ် သည့် တိုက်ပွဲ နှင့် ၁၉၉၉ ခုနှစ် ကာဂေး Kargil ပြဿနာ ကြောင့် ဖြစ် သည့် တိုက်ပွဲ တို့ ဖြစ် သည် ။	2 occur again in a minor fight between left and especially in 1984 to fight the problem SiachenGlacier 1999 fight which is gay because of the Kargil crisis.
ခရီးစဉ် အားလုံး အတွက် သိပ် ကျေးဇူးတင် ရှိ ရ ပါ တယ် ။	We are very grateful for your visit.
ရွာချ သော မိုးရေချိန် အနည်း အများ ကို လိုက် ၍ ဒေသ သုံး မျိုး ခွဲခြား နိုင် ရာ ၊ ၁ တစ် နှစ် အတွင်း ပျမ်းမျှ မိုးရေချိန် လက်မ ၈ဝ ကျော် ၍ မိုးကောင်း သည် ဟု ခေါ်ဆို ရ သော ဒေသ များ မှာ အနောက် ကမ်းရိုးတန်း ၊ ဘင်္ဂလား နှင့် အာသံ တို့ ဖြစ် သည် ။	The village is little rainfall, and can be divided into three parts. During a 1-year average of more than 8 inches of rainfall. Receivership is the region called the West Coast, Bengal and Assam.
သို့သော်လည်း ပထမ ဆုံး နိုင်ငံတော် ကို ၁၈၃၄ ခုနှစ် မတ် ၂၀ ရက် တွင် စတင် ကို ကွပ်ကဲ ခဲ့ သည် ။	However, the first state in March 1834, had managed to start in 20 days.
တရုတ် များ နှင့် အဆက်အသွယ် မ လုပ် နိုင် ခဲ့ သော်လည်း ဂျပန် ကိုယ်စားလှယ် တစ် ဦး သူ တို့ အား ချဉ်းကပ် ပြီး ဂျပန် အရာရှိ တစ် ဦး ဖြစ် ဗိုလ်မှူးကြီး နှင့် တွေ့ ရန် တိုကျို သို့ လေယာဉ် နှင့် ပို့ လိုက် ပါ သည် ။	I was able to make contact with the Chinese approach, but a representative of Japan and Japanese officials met with Colonel to send a plane to Tokyo.
ဝမ်းနည်း ပါ တယ် ၊ နှစ်ဆယ် ဒေါ်လာ ထက် ပို ပြီး မ ပေး နိုင် ပါ ဘူး ။	Sorry, I can not more than twenty dollars.
မြို့ ၏ အကျယ်အဝန်း မှာ ၁.၂ဝ၃ စတုရန်း ခန့် ရှိ သည် ။	The city is in the range of 1.2 to about 3 square.
