The Wonderful Wizard of Oz	พ่อมดมหัศจรรย์แห่งออซ
"Then that accounts for it.	ถ้าอย่างนั้น ก็ดี
In the civilized countries I believe there are no witches left, nor wizards, nor sorceresses, nor magicians.	ฉันเชื่อว่า ในประเทศอารยะ ไม่มีแม่มด เหลือ อยู่ อีก แล้ว แล้ว ก็ ไม่มีพ่อมดหมอผีหรือคนเสกเวทมนตร์
But, you see, the Land of Oz has never been civilized, for we are cut off from all the rest of the world. Therefore we still have witches and wizards amongst us."	แต่ว่าดินแดน แห่งออซ ยัง ไม่ เจริญเลยเพราะเรา ถูกตัด ขาดจากโลกภายนอกหมด ดัง นั้น เราจึง ยังมีแม่มดพ่อมด อยู่''
"Who are the wizards?" asked Dorothy.	``พ่อมดเป็น ใคร''โดโรธีถาม
"Oz himself is the Great Wizard," answered the Witch, sinking her voice to a whisper.	``ออซนั่นแหละเป็นพ่อมดยิ่ง ใหญ่''แม่มดตอบ ด้วย เสียงกระซิบแผ่ว เบา ``
"He is more powerful than all the rest of us together.	ท่านมีอำนาจมากกว่า ใครๆ ทั้งหมดของพวก เรารวมกัน
He lives in the City of Emeralds."	ท่านอยู่ที่เมือง มรกต''
Dorothy was going to ask another question, but just then the Munchkins, who had been standing silently by, gave a loud shout and pointed to the corner of the house where the Wicked Witch had been lying.	โดโรธีกำลังจะถาม อีก คำ ก็พอดีพวก มันชกิน ส์ที่ ยืน อยู่ถัด ไปเงียบๆนั้น ตะโกน ด้วย เสียงดัง แล้วชี้ ไปที่ มุมบ้านที่แม่มด ชั่วร้ายนอน อยู่
"What is it?" asked the little old woman, and looked, and began to laugh.	``อะไร?''หญิง แก่ร่างเล็กถาม หัน ไปมอง และ หัวเราะ ขึ้น
The feet of the dead Witch had disappeared entirely, and nothing was left but the silver shoes.	เท้าของแม่มดที่ตายนั้น หาย ไปหมด เหลือ อยู่ แต่รอง เท้า เงิน เท่านั้น
"She was so old," explained the Witch of the North, "that she dried up quickly in the sun.	``นางแก่มาก เหลือกิน ...''แม่มด แห่งทิศ เหนืออธิบาย ``นางเลย แห้ง ไปกับ แสง แดดอย่างรวด เร็ว''
That is the end of her.	จบสิ้นกัน เสียที
But the silver shoes are yours, and you shall have them to wear."	รองเท้า เงิน เป็นของเธอ แล้ว...เธอควรสวมมัน เสีย
She reached down and picked up the shoes, and after shaking the dust out of them handed them to Dorothy.	เธอเอื้อมไป หยิบรอง เท้า ขึ้นมา หลังจาก ปัดฝุ่นออก แล้ว ก็ส่ง ให้โดโรธี
"The Witch of the East was proud of those silver shoes," said one of the Munchkins, "and there is some charm connected with them; but what it is we never knew."	``แม่มดแห่งทิศ ตะวัน ออกภูมิ ใจรอง เท้า เงินนี้ นัก...''มันชกิน ส์คนหนึ่ง กล่าว ขึ้น `` และมันมีอิทธิฤทธิ์ ใน ตัว ด้วย แต่ จะ เป็นอย่างไรพวก เรา ก็ ไม่รู้ ''
Dorothy carried the shoes into the house and placed them on the table.	โดโรธีถือรอง เท้า เข้า ไป ในบ้าน เอาวาง ไว้บน โต๊ะ
Then she came out again to the Munchkins and said: "I am anxious to get back to my aunt and uncle, for I am sure they will worry about me.	แล้วเธอ ก็ กลับออกมาที่พวก มันชกิน ส์ และพูดว่า ``ฉัน อยาก กลับ ไปหาป้ากับ ลุงของฉันจัง ฉัน เชื่อว่าท่านคงห่วงฉันมาก
